405.7946 171.69685 165.86935,404.26736 172.05862 165.952,402.69785 172.65143 165.86423
262.685 309.55353 104.76907,262.20868 309.2897 105.983025,261.9047 309.01315 107.27791
0.0 0.0 0.0,268.26947 156.8424 81.65874,268.15274 156.62389 81.62246
247.83139 207.6146 174.68109,246.99289 207.86485 174.44061,245.57509 208.01677 172.3668
202.53416 162.76881 157.40903,201.42018 162.66273 157.57933,200.41911 162.45834 158.04446
302.00894 128.44218 270.74423,300.4785 129.81912 272.096,299.2877 132.66216 270.87628
245.96596 135.75697 177.81535,245.59895 137.29507 178.34906,244.92165 138.64375 179.10498
297.82166 204.24059 218.37604,297.43414 203.92729 217.01878,297.14526 203.33469 215.72772
297.1906 202.5425 212.88649,296.86902 201.64183 211.7398,296.60043 200.74088 210.60078
283.62112 350.38812 221.57242,283.30872 348.9858 221.95276,283.43365 347.75513 222.48643
282.0528 115.41486 289.16266,281.84726 115.93422 288.25497,281.4846 116.612434 287.55212
266.68024 135.19092 224.38943,267.05142 133.95088 224.54901,267.30545 132.34488 224.77594
310.2838 183.44847 262.27502,309.48807 183.98611 260.43298,308.39694 184.54398 258.71896
342.02652 340.83408 128.95891,341.4609 341.5351 127.753235,340.45447 342.17386 126.84638
227.01265 194.7911 235.66267,225.79924 194.66168 236.5854,225.08083 194.1057 237.70961
302.45422 315.6453 304.3191,302.14703 315.41025 303.14404,301.495 315.35574 302.03973
231.8781 154.85556 190.51527,231.2762 153.69928 190.4915,230.25148 152.74867 190.87123
331.88892 168.09517 258.06485,330.82803 168.64229 258.02466,329.6274 169.077 257.8754
0.0 0.0 0.0,282.3298 176.15431 169.4081,282.1681 176.27837 169.42227
0.0 0.0 0.0,238.77316 342.126 149.58568,239.02411 339.64615 151.32436
343.45187 340.6262 133.71324,342.90704 340.90952 132.22049,342.4876 340.5424 130.43898
264.5888 362.75867 246.91632,264.3423 361.35165 246.48483,264.47015 359.97687 245.96222
199.47382 327.7679 120.28895,198.47826 325.82697 114.417725,199.18205 327.3171 119.03983
244.66281 96.64905 271.5151,244.37125 95.29845 272.37863,243.73082 94.13569 273.06775
292.22192 193.0998 164.6723,291.11627 193.99799 165.57297,290.33966 195.25807 166.43651
309.98895 371.39175 272.3799,308.9064 370.59576 271.20758,307.55707 369.81097 270.2888
288.92673 376.76562 285.2261,288.12064 375.88586 284.3596,287.31848 374.76917 283.59146
235.19594 209.74568 183.43182,233.54135 210.19743 183.31255,232.0726 210.65489 183.69029
326.5761 364.72824 215.04294,325.77505 365.688 215.88239,325.34293 366.62573 217.0163
336.61356 341.91754 235.75407,335.7434 341.4793 235.18599,334.66626 341.19208 234.5593
0.0 0.0 0.0,304.18436 178.94778 163.9614,303.20966 179.52025 164.43626
236.4885 165.61803 138.45006,235.96468 164.1707 136.97621,235.52684 162.89565 134.40382
282.04462 171.16519 98.44579,280.90515 171.22263 99.86975,279.74817 171.20665 101.55784
320.18295 179.45279 261.39835,319.6967 179.09305 260.0683,318.868 179.0725 259.49945
268.79135 355.23746 190.37086,267.83487 355.1066 190.06967,266.79733 355.34717 189.82758
